16828160,16828415,TH,Thailand,Phangnga,Kapong,8.69697,98.40914
16828416,16828671,TH,Thailand,Chon Buri,Pattaya,12.93333,100.88333
16828672,16828927,TH,Thailand,Samut Prakan,Phra Pradaeng,13.65854,100.53362
16828928,16829183,TH,Thailand,Nakhon Si Thammarat,Ron Phibun,8.17911,99.85425
16829184,16829439,TH,Thailand,Nakhon Si Thammarat,Tham Phannara,8.42044,99.39517
16829440,16829695,TH,Thailand,Phetchabun,Lom Sak,16.77983,101.24225
16829696,16829951,TH,Thailand,Tak,Tak,16.86968,99.12898
16829952,16830207,TH,Thailand,Phetchabun,Lom Kao,16.88614,101.22894
16830208,16830463,TH,Thailand,Phetchabun,Phetchabun,16.41904,101.16056
16830464,16830719,TH,Thailand,Prachuap Khiri Khan,Hua Hin,12.57065,99.95876
16830720,16830975,TH,Thailand,Nakhon Pathom,Sam Phran,13.72698,100.21526
16830976,16831231,TH,Thailand,Phra Nakhon Si Ayutthaya,Bang Pa-in,14.22728,100.57879
16831232,16831487,TH,Thailand,Lop Buri,Khok Samrong,15.0665,100.72233
16831488,16831743,TH,Thailand,Nakhon Pathom,Nakhon Pathom,13.8196,100.04427
16831744,16831999,TH,Thailand,Samut Songkhram,Samut Songkhram,13.41456,100.00264
16832000,16832255,TH,Thailand,Narathiwat,Narathiwat,6.42639,101.82308
16832256,16832511,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16832512,16832767,TH,Thailand,Phangnga,Phang Nga,8.4509,98.52985
16832768,16833023,TH,Thailand,Satun,Satun,6.62314,100.06676
16833024,16833279,TH,Thailand,Nakhon Si Thammarat,Ron Phibun,8.17911,99.85425
16833280,16833535,TH,Thailand,Nakhon Si Thammarat,Lan Saka,8.37097,99.80564
16833536,16833791,TH,Thailand,Nakhon Si Thammarat,Phra Phrom,8.33911,99.90092
16833792,16834047,TH,Thailand,Surat Thani,Chaiya,9.38624,99.19861
16834048,16834303,TH,Thailand,Surat Thani,Ko Samui,9.53567,99.93567
16834304,16835327,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16835328,16835583,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16835584,16836607,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16836608,16836863,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16836864,16837631,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16837632,16838143,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16838144,16838655,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16838656,16838911,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16838912,16839167,TH,Thailand,Phangnga,Phang Nga,8.4509,98.52985
16839168,16839679,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16839680,16839935,TH,Thailand,Satun,Manang,6.99933,99.92161
16839936,16840191,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16840192,16840447,TH,Thailand,Satun,Satun,6.62314,100.06676
16840448,16840703,TH,Thailand,Phangnga,Thai Mueang,8.39914,98.26061
16840704,16840959,TH,Thailand,Narathiwat,Rueso,6.39364,101.51847
16840960,16841215,TH,Thailand,Songkhla,Songkhla,7.19882,100.5951
16841216,16841471,TH,Thailand,Yala,Raman,6.47862,101.42414
16841472,16841727,TH,Thailand,Yala,Betong,5.77434,101.07231
16841728,16841983,TH,Thailand,Yala,Raman,6.47862,101.42414
16841984,16842239,TH,Thailand,Songkhla,Khuan Niang,7.19138,100.35355
16842240,16842495,TH,Thailand,Narathiwat,Su-ngai Kolok,6.02977,101.96586
16842496,16842751,TH,Thailand,Songkhla,Hat Yai,7.00836,100.47668
16842752,16843007,CN,China,Fujian,Fuzhou,26.06139,119.30611
16843008,16843263,US,United States of America,California,Los Angeles,34.05223,-118.24368
16843264,16844799,CN,China,Fujian,Fuzhou,26.06139,119.30611
16844800,16845055,CN,China,Shanghai,Shanghai,31.22222,121.45806
16845056,16859135,CN,China,Guangdong,Guangzhou,23.11667,113.25
16859136,16875519,JP,Japan,Tokyo,Tokyo,35.689506,139.6917
16875520,16875775,TH,Thailand,Sakon Nakhon,Sakon Nakhon,17.16116,104.14725
16875776,16876031,TH,Thailand,Nakhon Phanom,Pla Pak,17.18064,104.52606
16876032,16876287,TH,Thailand,Sakon Nakhon,Phu Phan,16.99891,103.97347
16876288,16876543,TH,Thailand,Nakhon Phanom,Si Songkhram,17.62745,104.2507
16876544,16876799,TH,Thailand,Roi Et,Roi Et,16.0567,103.65309
16876800,16877055,TH,Thailand,Sakon Nakhon,Phu Phan,16.99891,103.97347
16877056,16877311,TH,Thailand,Roi Et,Roi Et,16.0567,103.65309
16877312,16877567,TH,Thailand,Loei,Erawan,17.30181,101.95382
16877568,16877823,TH,Thailand,Sakon Nakhon,Sakon Nakhon,17.16116,104.14725
16877824,16878079,TH,Thailand,Sakon Nakhon,Phang Khon,17.3905,103.71692
16878080,16878335,TH,Thailand,Nong Khai,Nong Khai,17.87847,102.742
16878336,16878591,TH,Thailand,Loei,Loei,17.49052,101.72749
16878592,16878847,TH,Thailand,Songkhla,Na Thawi,6.74192,100.69139
16878848,16879103,TH,Thailand,Chon Buri,Pattaya,12.93333,100.88333
16879104,16879359,TH,Thailand,Phangnga,Phang Nga,8.4509,98.52985
16879360,16879615,TH,Thailand,Phatthalung,Pak Phayun,7.3489,100.32012
16879616,16879871,TH,Thailand,Nakhon Phanom,Si Songkhram,17.62745,104.2507
16879872,16880383,TH,Thailand,Roi Et,Roi Et,16.0567,103.65309
16880384,16880639,TH,Thailand,Khon Kaen,Khon Kaen,16.44671,102.833
16880640,16881151,TH,Thailand,Songkhla,Hat Yai,7.00836,100.47668
16881152,16881407,TH,Thailand,Yala,Yala,6.53995,101.28128
16881408,16881663,TH,Thailand,Pattani,Sai Buri,6.70131,101.61675
16881664,16881919,TH,Thailand,Chumphon,Chumphon,10.5,99.16667
16881920,16882175,TH,Thailand,Phatthalung,Phatthalung,7.61786,100.07792
16882176,16882431,TH,Thailand,Phangnga,Kapong,8.69697,98.40914
16882432,16882687,TH,Thailand,Satun,Manang,6.99933,99.92161
16882688,16883199,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16883200,16883455,TH,Thailand,Satun,Satun,6.62314,100.06676
16883456,16883711,TH,Thailand,Krabi,Saladan,7.61342,99.03651
16883712,16884223,TH,Thailand,Chiang Mai,Chiang Mai,18.79038,98.98468
16884224,16884479,TH,Thailand,Chiang Mai,San Pa Tong,18.62828,98.89572
16884480,16884735,TH,Thailand,Chiang Rai,Pa Daet,19.5048,99.99243
16884736,16884991,TH,Thailand,Lampang,Lampang,18.29232,99.49277
16884992,16885247,TH,Thailand,Phrae,Phrae,18.14589,100.14103
16885248,16885503,TH,Thailand,Lampang,Lampang,18.29232,99.49277
16885504,16886015,TH,Thailand,Chiang Rai,Pa Daet,19.5048,99.99243
16886016,16886271,TH,Thailand,Chiang Mai,Chiang Mai,18.79038,98.98468
16886272,16886527,TH,Thailand,Chiang Mai,Pai,19.36168,98.43973
